"query","candidate","type","p_relevant","p_irrelevant","adj_score","margin","keep","decision"
,,"S","0.868031","0.131969","0.868031","0.736062","True","keep"
,,"S","0.825306","0.174694","0.825306","0.650612","True","keep"
,,"T","0.897749","0.102251","0.897749","0.795498","True","keep"
,,"S","0.96578","0.03422","0.96578","0.93156","True","keep"
,,"T","0.941683","0.058317","0.941683","0.883366","True","keep"
,,"S","0.948801","0.051199","0.948801","0.897602","True","keep"
,,"S","0.896992","0.103008","0.896992","0.793984","True","keep"
,,"S","0.868907","0.131093","0.868907","0.737814","True","keep"
,,"S","0.953758","0.046242","0.953758","0.907516","True","keep"
,,"S","0.961874","0.038126","0.961874","0.923748","True","keep"
,,"S","0.96783","0.03217","0.96783","0.93566","True","keep"
,,"S","0.907808","0.092192","0.907808","0.815616","True","keep"
,,"S","0.951922","0.048078","0.951922","0.903844","True","keep"
,,"T","0.870397","0.129603","0.870397","0.740794","True","keep"
,,"S","0.95222","0.04778","0.95222","0.90444","True","keep"
,,"S","0.361073","0.638927","0.361073","-0.277854","True","keep"
,,"S","0.940518","0.059482","0.940518","0.881036","True","keep"
,,"T","0.969358","0.030642","0.969358","0.938716","True","keep"
,,"S","0.984686","0.015314","0.984686","0.969372","True","keep"
,,"S","0.688725","0.311275","0.688725","0.37745","True","keep"
,,"S","0.546019","0.453981","0.546019","0.092038","True","keep"
,,"S","0.928862","0.071138","0.928862","0.857724","True","keep"
,,"S","0.925688","0.074312","0.925688","0.851376","True","keep"
,,"S","0.372325","0.627675","0.372325","-0.25535","True","keep"
,,"S","0.921126","0.078874","0.921126","0.842252","True","keep"
,,"S","0.573512","0.426488","0.573512","0.147024","True","keep"
,,"S","0.846698","0.153302","0.846698","0.693396","True","keep"
,,"T","0.955502","0.044498","0.955502","0.911004","True","keep"
,,"S","0.964097","0.035903","0.964097","0.928194","True","keep"
,,"S","0.978141","0.021859","0.978141","0.956282","True","keep"
,,"S","0.940432","0.059568","0.940432","0.880864","True","keep"
,,"S","0.915089","0.084911","0.915089","0.830178","True","keep"
,,"T","0.975897","0.024103","0.975897","0.951794","True","keep"
,,"T","0.824031","0.175969","0.824031","0.648062","True","keep"
,,"T","0.945527","0.054473","0.945527","0.891054","True","keep"
,,"T","0.809501","0.190499","0.809501","0.619002","True","keep"
,,"S","0.97932","0.02068","0.97932","0.95864","True","keep"
,,"S","0.87568","0.12432","0.87568","0.75136","True","keep"
,,"T","0.977189","0.022811","0.977189","0.954378","True","keep"
,,"S","0.950892","0.049108","0.950892","0.901784","True","keep"
,,"T","0.964319","0.035681","0.964319","0.928638","True","keep"
,,"T","0.974853","0.025147","0.974853","0.949706","True","keep"
,,"T","0.868991","0.131009","0.868991","0.737982","True","keep"
,,"T","0.906659","0.093341","0.906659","0.813318","True","keep"
,,"S","0.89355","0.10645","0.89355","0.7871","True","keep"
,,"T","0.96822","0.03178","0.96822","0.93644","True","keep"
,,"S","0.971641","0.028359","0.971641","0.943282","True","keep"
,,"S","0.96869","0.03131","0.96869","0.93738","True","keep"
,,"T","0.914954","0.085046","0.914954","0.829908","True","keep"
,,"S","0.968857","0.031143","0.968857","0.937714","True","keep"
,,"T","0.591731","0.408269","0.591731","0.183462","True","keep"
,,"T","0.582644","0.417356","0.582644","0.165288","True","keep"
,,"T","0.967893","0.032107","0.967893","0.935786","True","keep"
